2023-07-23 17:04:27 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['symrr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 17:04:32 INFO     Using device: cuda
2023-07-23 17:04:32 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 17:04:32 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 17:04:32 INFO     [symrr: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 17:04:32 INFO     [symrr: gat on cora with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 17:14:39 INFO     [symrr: gat on cora with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0} with validation loss 1.7894951820373535
2023-07-23 17:14:39 INFO     [symrr: gat on cora with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 17:14:39 INFO     [symrr: gat on cora with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 17:22:27 INFO     [symrr: gat on cora with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0} with validation loss 1.7537132024765014
2023-07-23 17:22:27 INFO     [symrr: gat on cora with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 17:22:27 INFO     [symrr: gat on cora] Grid search done.
2023-07-23 17:22:27 INFO     Grid search done!
2023-07-23 17:22:27 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 17:22:27 INFO     [symrr: gat on cora] Start running experiments on various epsilons.
2023-07-23 17:22:27 INFO     [symrr: gat on cora with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0}.
2023-07-23 17:24:18 INFO     [symrr: gat on cora with eps=1] Test accuracy is 0.3405711472181192 (0.003114399724444796).
2023-07-23 17:24:18 INFO     [symrr: gat on cora with eps=1] Saving training results to output/bl_results.json
2023-07-23 17:24:18 INFO     [symrr: gat on cora with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0}.
2023-07-23 17:25:44 INFO     [symrr: gat on cora with eps=2] Test accuracy is 0.3399310684391926 (0.009253904528984863).
2023-07-23 17:25:44 INFO     [symrr: gat on cora with eps=2] Saving training results to output/bl_results.json
2023-07-23 17:25:44 INFO     [symrr: gat on cora] Experiments done.
2023-07-23 17:25:44 INFO     All baseline experiments done!
