2023-07-23 12:44:42 INFO     Start experiments with Namespace(dataset='lastfm', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 12:44:47 INFO     Using device: cuda
2023-07-23 12:44:47 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 12:44:47 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 12:44:47 INFO     [dprr: gat on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 12:44:47 INFO     [dprr: gat on lastfm with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 12:54:04 INFO     [dprr: gat on lastfm with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05} with validation loss 2.249411869049072
2023-07-23 12:54:04 INFO     [dprr: gat on lastfm with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 12:54:04 INFO     [dprr: gat on lastfm with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 13:03:29 INFO     [dprr: gat on lastfm with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.2330389499664305
2023-07-23 13:03:29 INFO     [dprr: gat on lastfm with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 13:03:29 INFO     [dprr: gat on lastfm] Grid search done.
2023-07-23 13:03:29 INFO     Grid search done!
2023-07-23 13:03:29 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 13:03:29 INFO     [dprr: gat on lastfm] Start running experiments on various epsilons.
2023-07-23 13:03:29 INFO     [dprr: gat on lastfm with eps=3] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 13:05:15 INFO     [dprr: gat on lastfm with eps=3] Test accuracy is 0.25066456803078 (0.03633673633485626).
2023-07-23 13:05:15 INFO     [dprr: gat on lastfm with eps=3] Saving training results to output/bl_results.json
2023-07-23 13:05:15 INFO     [dprr: gat on lastfm with eps=4] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 13:07:00 INFO     [dprr: gat on lastfm with eps=4] Test accuracy is 0.2786114025883176 (0.023129263467544493).
2023-07-23 13:07:00 INFO     [dprr: gat on lastfm with eps=4] Saving training results to output/bl_results.json
2023-07-23 13:07:00 INFO     [dprr: gat on lastfm] Experiments done.
2023-07-23 13:07:00 INFO     All baseline experiments done!
