2023-07-24 00:14:48 INFO     Start experiments with Namespace(dataset='facebook', model='gcn', method=['dprr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-24 00:17:44 INFO     Using device: cuda
2023-07-24 00:17:44 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-24 00:17:44 INFO     Grid search. Load hyperparameter space from config.json
2023-07-24 00:17:44 INFO     [dprr: gcn on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-24 00:17:44 INFO     [dprr: gcn on facebook with eps=5] Start grid search for hyperparameter tuning.
2023-07-24 00:34:23 INFO     [dprr: gcn on facebook with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.2135018348693847
2023-07-24 00:34:23 INFO     [dprr: gcn on facebook with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-24 00:34:23 INFO     [dprr: gcn on facebook with eps=6] Start grid search for hyperparameter tuning.
2023-07-24 00:50:48 INFO     [dprr: gcn on facebook with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0} with validation loss 1.08027126789093
2023-07-24 00:50:48 INFO     [dprr: gcn on facebook with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-24 00:50:48 INFO     [dprr: gcn on facebook] Grid search done.
2023-07-24 00:50:48 INFO     Grid search done!
2023-07-24 00:50:48 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-24 00:50:48 INFO     [dprr: gcn on facebook] Start running experiments on various epsilons.
2023-07-24 00:50:48 INFO     [dprr: gcn on facebook with eps=5] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-24 00:53:54 INFO     [dprr: gcn on facebook with eps=5] Test accuracy is 0.4372374510501959 (0.00976734498982443).
2023-07-24 00:53:54 INFO     [dprr: gcn on facebook with eps=5] Saving training results to output/bl_results.json
2023-07-24 00:53:54 INFO     [dprr: gcn on facebook with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0}.
2023-07-24 00:56:57 INFO     [dprr: gcn on facebook with eps=6] Test accuracy is 0.528379019817254 (0.007436264523520089).
2023-07-24 00:56:57 INFO     [dprr: gcn on facebook with eps=6] Saving training results to output/bl_results.json
2023-07-24 00:56:57 INFO     [dprr: gcn on facebook] Experiments done.
2023-07-24 00:56:57 INFO     All baseline experiments done!
