2023-07-24 00:44:27 INFO     Start experiments with Namespace(dataset='lastfm', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-24 00:44:39 INFO     Using device: cuda
2023-07-24 00:44:39 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-24 00:44:39 INFO     Grid search. Load hyperparameter space from config.json
2023-07-24 00:44:39 INFO     [dprr: gat on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-24 00:44:39 INFO     [dprr: gat on lastfm with eps=5] Start grid search for hyperparameter tuning.
2023-07-24 00:54:10 INFO     [dprr: gat on lastfm with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 2.0409674882888793
2023-07-24 00:54:10 INFO     [dprr: gat on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-24 00:54:10 INFO     [dprr: gat on lastfm with eps=6] Start grid search for hyperparameter tuning.
2023-07-24 01:03:33 INFO     [dprr: gat on lastfm with eps=6] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.8177520513534546
2023-07-24 01:03:33 INFO     [dprr: gat on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-24 01:03:33 INFO     [dprr: gat on lastfm] Grid search done.
2023-07-24 01:03:33 INFO     Grid search done!
2023-07-24 01:03:33 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-24 01:03:33 INFO     [dprr: gat on lastfm] Start running experiments on various epsilons.
2023-07-24 01:03:33 INFO     [dprr: gat on lastfm with eps=5] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-24 01:05:20 INFO     [dprr: gat on lastfm with eps=5] Test accuracy is 0.371825813221406 (0.02645902929371346).
2023-07-24 01:05:20 INFO     [dprr: gat on lastfm with eps=5] Saving training results to output/bl_results.json
2023-07-24 01:05:20 INFO     [dprr: gat on lastfm with eps=6] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-24 01:07:08 INFO     [dprr: gat on lastfm with eps=6] Test accuracy is 0.48394543546694646 (0.02648240954432364).
2023-07-24 01:07:08 INFO     [dprr: gat on lastfm with eps=6] Saving training results to output/bl_results.json
2023-07-24 01:07:08 INFO     [dprr: gat on lastfm] Experiments done.
2023-07-24 01:07:08 INFO     All baseline experiments done!
