2023-07-23 09:39:30 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 09:39:36 INFO     Using device: cuda
2023-07-23 09:39:36 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 09:39:36 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 09:39:36 INFO     [ldpgen: gcn on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 09:39:36 INFO     [ldpgen: gcn on lastfm with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 09:49:21 INFO     [ldpgen: gcn on lastfm with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0} with validation loss 2.3586543083190916
2023-07-23 09:49:21 INFO     [ldpgen: gcn on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 09:49:21 INFO     [ldpgen: gcn on lastfm with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 09:57:00 INFO     [ldpgen: gcn on lastfm with eps=2] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 2.355787754058838
2023-07-23 09:57:00 INFO     [ldpgen: gcn on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 09:57:00 INFO     [ldpgen: gcn on lastfm] Grid search done.
2023-07-23 09:57:00 INFO     Grid search done!
2023-07-23 09:57:00 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 09:57:00 INFO     [ldpgen: gcn on lastfm] Start running experiments on various epsilons.
2023-07-23 09:57:00 INFO     [ldpgen: gcn on lastfm with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0}.
2023-07-23 09:58:48 INFO     [ldpgen: gcn on lastfm with eps=1] Test accuracy is 0.21427072402938088 (0.001493819972302388).
2023-07-23 09:58:48 INFO     [ldpgen: gcn on lastfm with eps=1] Saving training results to output/bl_results.json
2023-07-23 09:58:48 INFO     [ldpgen: gcn on lastfm with eps=2] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 10:00:14 INFO     [ldpgen: gcn on lastfm with eps=2] Test accuracy is 0.2137810423224904 (0.003895060416181459).
2023-07-23 10:00:14 INFO     [ldpgen: gcn on lastfm with eps=2] Saving training results to output/bl_results.json
2023-07-23 10:00:14 INFO     [ldpgen: gcn on lastfm] Experiments done.
2023-07-23 10:00:14 INFO     All baseline experiments done!
