2023-07-23 11:44:29 INFO     Start experiments with Namespace(dataset='cora', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 11:44:34 INFO     Using device: cuda
2023-07-23 11:44:34 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 11:44:34 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 11:44:34 INFO     [symrr: gcn on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 11:44:34 INFO     [symrr: gcn on cora with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 11:48:28 INFO     [symrr: gcn on cora with eps=5] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.015078330039978
2023-07-23 11:48:28 INFO     [symrr: gcn on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 11:48:28 INFO     [symrr: gcn on cora with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 11:52:24 INFO     [symrr: gcn on cora with eps=6] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.7722177505493164
2023-07-23 11:52:24 INFO     [symrr: gcn on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 11:52:24 INFO     [symrr: gcn on cora] Grid search done.
2023-07-23 11:52:24 INFO     Grid search done!
2023-07-23 11:52:24 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 11:52:24 INFO     [symrr: gcn on cora] Start running experiments on various epsilons.
2023-07-23 11:52:24 INFO     [symrr: gcn on cora with eps=5] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 11:53:11 INFO     [symrr: gcn on cora with eps=5] Test accuracy is 0.6131462333825701 (0.04187333969697843).
2023-07-23 11:53:11 INFO     [symrr: gcn on cora with eps=5] Saving training results to output/bl_results.json
2023-07-23 11:53:11 INFO     [symrr: gcn on cora with eps=6] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 11:53:56 INFO     [symrr: gcn on cora with eps=6] Test accuracy is 0.7220580994583947 (0.02409412170504025).
2023-07-23 11:53:56 INFO     [symrr: gcn on cora with eps=6] Saving training results to output/bl_results.json
2023-07-23 11:53:56 INFO     [symrr: gcn on cora] Experiments done.
2023-07-23 11:53:56 INFO     All baseline experiments done!
