2023-07-23 11:14:20 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['symrr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 11:14:34 INFO     Using device: cuda
2023-07-23 11:14:34 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 11:14:34 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 11:14:34 INFO     [symrr: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 11:14:34 INFO     [symrr: gat on cora with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 11:20:03 INFO     [symrr: gat on cora with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.5546364068984986
2023-07-23 11:20:03 INFO     [symrr: gat on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 11:20:03 INFO     [symrr: gat on cora with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 11:25:26 INFO     [symrr: gat on cora with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.2005712509155273
2023-07-23 11:25:26 INFO     [symrr: gat on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 11:25:26 INFO     [symrr: gat on cora] Grid search done.
2023-07-23 11:25:26 INFO     Grid search done!
2023-07-23 11:25:26 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 11:25:26 INFO     [symrr: gat on cora] Start running experiments on various epsilons.
2023-07-23 11:25:26 INFO     [symrr: gat on cora with eps=5] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 11:26:31 INFO     [symrr: gat on cora with eps=5] Test accuracy is 0.4334810438207779 (0.04025344914494434).
2023-07-23 11:26:31 INFO     [symrr: gat on cora with eps=5] Saving training results to output/bl_results.json
2023-07-23 11:26:31 INFO     [symrr: gat on cora with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 11:27:31 INFO     [symrr: gat on cora with eps=6] Test accuracy is 0.573806006893156 (0.04522568261811548).
2023-07-23 11:27:31 INFO     [symrr: gat on cora with eps=6] Saving training results to output/bl_results.json
2023-07-23 11:27:31 INFO     [symrr: gat on cora] Experiments done.
2023-07-23 11:27:31 INFO     All baseline experiments done!
