2023-07-23 10:33:06 INFO     Start experiments with Namespace(dataset='lastfm', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 10:33:11 INFO     Using device: cuda
2023-07-23 10:33:11 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 10:33:11 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 10:33:11 INFO     [dprr: gat on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 10:33:11 INFO     [dprr: gat on lastfm with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 10:41:09 INFO     [dprr: gat on lastfm with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.5174941778182984
2023-07-23 10:41:09 INFO     [dprr: gat on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 10:41:09 INFO     [dprr: gat on lastfm with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 10:48:46 INFO     [dprr: gat on lastfm with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.234069013595581
2023-07-23 10:48:46 INFO     [dprr: gat on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 10:48:46 INFO     [dprr: gat on lastfm] Grid search done.
2023-07-23 10:48:46 INFO     Grid search done!
2023-07-23 10:48:46 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 10:48:46 INFO     [dprr: gat on lastfm] Start running experiments on various epsilons.
2023-07-23 10:48:46 INFO     [dprr: gat on lastfm with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 10:50:11 INFO     [dprr: gat on lastfm with eps=7] Test accuracy is 0.5802553340328787 (0.0172673035698441).
2023-07-23 10:50:11 INFO     [dprr: gat on lastfm with eps=7] Saving training results to output/bl_results.json
2023-07-23 10:50:11 INFO     [dprr: gat on lastfm with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 10:51:38 INFO     [dprr: gat on lastfm with eps=8] Test accuracy is 0.6725953130465198 (0.0115865192303049).
2023-07-23 10:51:38 INFO     [dprr: gat on lastfm with eps=8] Saving training results to output/bl_results.json
2023-07-23 10:51:38 INFO     [dprr: gat on lastfm] Experiments done.
2023-07-23 10:51:38 INFO     All baseline experiments done!
