2023-07-23 12:01:46 INFO     Start experiments with Namespace(dataset='facebook', model='gcn', method=['dprr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 12:05:05 INFO     Using device: cuda
2023-07-23 12:05:05 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 12:05:05 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 12:05:05 INFO     [dprr: gcn on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 12:05:05 INFO     [dprr: gcn on facebook with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 12:21:27 INFO     [dprr: gcn on facebook with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0} with validation loss 0.9069031000137329
2023-07-23 12:21:27 INFO     [dprr: gcn on facebook with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 12:21:27 INFO     [dprr: gcn on facebook with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 12:37:30 INFO     [dprr: gcn on facebook with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0} with validation loss 0.7194008827209473
2023-07-23 12:37:30 INFO     [dprr: gcn on facebook with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 12:37:30 INFO     [dprr: gcn on facebook] Grid search done.
2023-07-23 12:37:30 INFO     Grid search done!
2023-07-23 12:37:30 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 12:37:30 INFO     [dprr: gcn on facebook] Start running experiments on various epsilons.
2023-07-23 12:37:30 INFO     [dprr: gcn on facebook with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0}.
2023-07-23 12:40:32 INFO     [dprr: gcn on facebook with eps=7] Test accuracy is 0.6164768007594635 (0.009544976581504752).
2023-07-23 12:40:32 INFO     [dprr: gcn on facebook with eps=7] Saving training results to output/bl_results.json
2023-07-23 12:40:32 INFO     [dprr: gcn on facebook with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0}.
2023-07-23 12:43:37 INFO     [dprr: gcn on facebook with eps=8] Test accuracy is 0.7122048178473952 (0.006132255592505744).
2023-07-23 12:43:37 INFO     [dprr: gcn on facebook with eps=8] Saving training results to output/bl_results.json
2023-07-23 12:43:37 INFO     [dprr: gcn on facebook] Experiments done.
2023-07-23 12:43:37 INFO     All baseline experiments done!
