2023-07-23 04:28:33 INFO     Start experiments with Namespace(dataset='lastfm', model='gat', method=['symrr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 04:28:53 INFO     Using device: cuda
2023-07-23 04:28:53 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 04:28:53 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 04:28:53 INFO     [symrr: gat on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 04:28:53 INFO     [symrr: gat on lastfm with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 04:37:11 INFO     [symrr: gat on lastfm with eps=5] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05} with validation loss 2.178414726257324
2023-07-23 04:37:11 INFO     [symrr: gat on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 04:37:11 INFO     [symrr: gat on lastfm with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 04:44:36 INFO     [symrr: gat on lastfm with eps=6] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0} with validation loss 1.7326173067092896
2023-07-23 04:44:36 INFO     [symrr: gat on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 04:44:36 INFO     [symrr: gat on lastfm] Grid search done.
2023-07-23 04:44:36 INFO     Grid search done!
2023-07-23 04:44:36 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 04:44:36 INFO     [symrr: gat on lastfm] Start running experiments on various epsilons.
2023-07-23 04:44:36 INFO     [symrr: gat on lastfm with eps=5] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 04:46:10 INFO     [symrr: gat on lastfm with eps=5] Test accuracy is 0.30337530605106683 (0.03953568677998129).
2023-07-23 04:46:10 INFO     [symrr: gat on lastfm with eps=5] Saving training results to output/bl_results.json
2023-07-23 04:46:10 INFO     [symrr: gat on lastfm with eps=6] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0}.
2023-07-23 04:47:32 INFO     [symrr: gat on lastfm with eps=6] Test accuracy is 0.4345225603357817 (0.041160914676735966).
2023-07-23 04:47:32 INFO     [symrr: gat on lastfm with eps=6] Saving training results to output/bl_results.json
2023-07-23 04:47:32 INFO     [symrr: gat on lastfm] Experiments done.
2023-07-23 04:47:32 INFO     All baseline experiments done!
