2023-07-23 14:57:24 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['symrr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 14:57:26 INFO     Using device: cuda
2023-07-23 14:57:26 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 14:57:26 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 14:57:26 INFO     [symrr: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 14:57:26 INFO     [symrr: gat on cora with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 15:03:50 INFO     [symrr: gat on cora with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.6573795318603515
2023-07-23 15:03:50 INFO     [symrr: gat on cora with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 15:03:50 INFO     [symrr: gat on cora with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 15:09:34 INFO     [symrr: gat on cora with eps=4] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.6399948596954346
2023-07-23 15:09:34 INFO     [symrr: gat on cora with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 15:09:34 INFO     [symrr: gat on cora] Grid search done.
2023-07-23 15:09:34 INFO     Grid search done!
2023-07-23 15:09:34 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 15:09:34 INFO     [symrr: gat on cora] Start running experiments on various epsilons.
2023-07-23 15:09:34 INFO     [symrr: gat on cora with eps=3] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 15:10:48 INFO     [symrr: gat on cora with eps=3] Test accuracy is 0.360905957656327 (0.0298198009448089).
2023-07-23 15:10:48 INFO     [symrr: gat on cora with eps=3] Saving training results to output/bl_results.json
2023-07-23 15:10:48 INFO     [symrr: gat on cora with eps=4] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 15:11:49 INFO     [symrr: gat on cora with eps=4] Test accuracy is 0.3984244214672575 (0.029396325070726117).
2023-07-23 15:11:49 INFO     [symrr: gat on cora with eps=4] Saving training results to output/bl_results.json
2023-07-23 15:11:49 INFO     [symrr: gat on cora] Experiments done.
2023-07-23 15:11:49 INFO     All baseline experiments done!
